name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_1-01,avg,otsu,7,35.513,31.829,-10.37367,0.982,0.974,-0.81466,52.735,50.872,-3.53276
Case_1-02,avg,otsu,7,35.612,31.994,-10.1595,0.982,0.976,-0.611,54.475,48.764,-10.48371
Case_1-03,avg,otsu,7,36.059,33.116,-8.16162,0.985,0.981,-0.40609,51.448,53.239,3.48118
Case_1-04,avg,otsu,7,36.06,33.466,-7.19357,0.986,0.984,-0.20284,54.6,52.783,-3.32784
Case_1-05,avg,otsu,7,36.008,32.929,-8.55088,0.985,0.98,-0.50761,51.409,53.868,4.78321
Case_1-06,avg,otsu,7,35.482,32.054,-9.66124,0.985,0.978,-0.71066,54.128,50.092,-7.4564
Case_1-07,avg,otsu,7,35.785,32.531,-9.0932,0.987,0.98,-0.70922,51.387,52.742,2.63685
Case_1-08,avg,otsu,7,36.215,33.289,-8.07953,0.983,0.98,-0.30519,51.919,52.525,1.1672
Case_10-01,avg,otsu,7,34.946,28.781,-17.6415,0.976,0.925,-5.22541,42.96,54.739,27.41853
Case_10-02,avg,otsu,7,35.813,29.617,-17.30098,0.98,0.938,-4.28571,45.966,50.864,10.6557
Case_10-03,avg,otsu,7,34.463,28.456,-17.43029,0.973,0.918,-5.65262,42.322,55.111,30.21833
Case_10-04,avg,otsu,7,35.063,28.547,-18.58369,0.978,0.927,-5.21472,43.414,53.701,23.69512
Case_10-05,avg,otsu,7,36.909,32.242,-12.64461,0.982,0.961,-2.13849,53.361,55.49,3.98981
Case_10-06,avg,otsu,7,35.791,29.823,-16.67458,0.98,0.943,-3.77551,46.239,49.963,8.05381
Case_10-07,avg,otsu,7,35.684,29.397,-17.61854,0.981,0.94,-4.17941,44.532,53.764,20.73116
Case_10-08,avg,otsu,7,35.654,29.518,-17.20985,0.981,0.942,-3.97554,44.582,53.788,20.64959
Case_10-09,avg,otsu,7,35.198,29.33,-16.6714,0.98,0.938,-4.28571,44.956,53.793,19.657
Case_10-10,avg,otsu,7,35.995,30.276,-15.88832,0.977,0.932,-4.60594,42.752,56.916,33.13061
