name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM
Case_1-01,gauss,1,1.1,0,33.476,33.291,-0.55,0.972,0.976,0.41
Case_1-02,gauss,1,1.1,0,33.482,33.078,-1.21,0.972,0.975,0.31
Case_1-03,gauss,1,1.1,0,33.98,33.98,0,0.977,0.981,0.41
Case_1-04,gauss,1,1.1,0,33.947,34.001,0.16,0.979,0.982,0.31
Case_1-05,gauss,1,1.1,0,33.969,33.986,0.05,0.978,0.981,0.31
Case_1-06,gauss,1,1.1,0,33.434,33.21,-0.67,0.977,0.979,0.2
Case_1-07,gauss,1,1.1,0,33.741,33.798,0.17,0.981,0.983,0.2
Case_1-08,gauss,1,1.1,0,34.152,34.094,-0.17,0.975,0.979,0.41
Case_10-01,gauss,1,1.1,0,32.913,32.549,-1.11,0.964,0.965,0.1
Case_10-02,gauss,1,1.1,0,33.662,33.047,-1.83,0.969,0.969,0
Case_10-03,gauss,1,1.1,0,32.564,32.283,-0.86,0.961,0.962,0.1
Case_10-04,gauss,1,1.1,0,32.984,32.423,-1.7,0.967,0.967,0
Case_10-05,gauss,1,1.1,0,34.767,34.504,-0.76,0.972,0.973,0.1
Case_10-06,gauss,1,1.1,0,33.637,33.038,-1.78,0.97,0.97,0
Case_10-07,gauss,1,1.1,0,33.555,32.953,-1.79,0.971,0.971,0
Case_10-08,gauss,1,1.1,0,33.535,33.017,-1.54,0.971,0.971,0
Case_10-09,gauss,1,1.1,0,33.125,32.854,-0.82,0.969,0.97,0.1
Case_10-10,gauss,1,1.1,0,33.951,33.671,-0.82,0.965,0.966,0.1
Case_11-07,gauss,1,1.1,0,34.089,33.851,-0.7,0.963,0.966,0.31
Case_11-09,gauss,1,1.1,0,38.547,38,-1.42,0.965,0.968,0.31
Case_11-10,gauss,1,1.1,0,36.241,35.864,-1.04,0.964,0.967,0.31
Case_11-11,gauss,1,1.1,0,36.246,35.845,-1.11,0.965,0.967,0.21
Case_11-12,gauss,1,1.1,0,35.801,35.47,-0.92,0.962,0.965,0.31
Case_11-13,gauss,1,1.1,0,37.679,37.009,-1.78,0.966,0.968,0.21
Case_11-15,gauss,1,1.1,0,34.824,34.828,0.01,0.971,0.974,0.31
Case_12-01,gauss,1,1.1,0,34.878,35.037,0.46,0.98,0.982,0.2
Case_12-02,gauss,1,1.1,0,34.763,35.028,0.76,0.981,0.984,0.31
Case_12-03,gauss,1,1.1,0,34.647,34.858,0.61,0.98,0.983,0.31
Case_12-04,gauss,1,1.1,0,34.72,34.501,-0.63,0.98,0.981,0.1
Case_12-05,gauss,1,1.1,0,34.393,34.18,-0.62,0.977,0.978,0.1
Case_12-06,gauss,1,1.1,0,34.131,34.174,0.13,0.977,0.979,0.2
Case_12-07,gauss,1,1.1,0,34.275,34.181,-0.27,0.976,0.977,0.1
Case_12-08,gauss,1,1.1,0,34.359,34.406,0.14,0.979,0.981,0.2
Case_12-09,gauss,1,1.1,0,34.458,34.45,-0.02,0.98,0.982,0.2
Case_12-10,gauss,1,1.1,0,34.418,34.499,0.24,0.98,0.982,0.2
Case_12-11,gauss,1,1.1,0,34.365,34.092,-0.79,0.98,0.981,0.1
Case_12-12,gauss,1,1.1,0,34.446,34.462,0.05,0.976,0.978,0.2
Case_13-01,gauss,1,1.1,0,33.573,33.429,-0.43,0.964,0.967,0.31
Case_13-02,gauss,1,1.1,0,33.589,33.258,-0.99,0.962,0.963,0.1
Case_13-03,gauss,1,1.1,0,33.767,33.405,-1.07,0.965,0.967,0.21
Case_13-04,gauss,1,1.1,0,34.317,34.37,0.15,0.962,0.967,0.52
Case_13-05,gauss,1,1.1,0,34.043,34.19,0.43,0.964,0.969,0.52
Case_13-06,gauss,1,1.1,0,33.804,33.546,-0.76,0.968,0.969,0.1
Case_13-07,gauss,1,1.1,0,33.52,33.583,0.19,0.964,0.968,0.41
Case_13-10,gauss,1,1.1,0,33.765,33.714,-0.15,0.959,0.964,0.52
Case_13-11,gauss,1,1.1,0,33.582,33.307,-0.82,0.96,0.963,0.31
Case_13-12,gauss,1,1.1,0,34.233,33.576,-1.92,0.965,0.965,0
Case_14-01,gauss,1,1.1,0,34.442,34.35,-0.27,0.947,0.952,0.53
Case_14-02,gauss,1,1.1,0,34.248,34.049,-0.58,0.941,0.945,0.43
Case_14-03,gauss,1,1.1,0,34.341,34.026,-0.92,0.951,0.954,0.32
Case_14-04,gauss,1,1.1,0,34.808,34.291,-1.49,0.975,0.975,0
Case_14-05,gauss,1,1.1,0,34.22,33.837,-1.12,0.952,0.955,0.32
Case_14-06,gauss,1,1.1,0,34.321,34.062,-0.75,0.966,0.967,0.1
Case_14-07,gauss,1,1.1,0,34.169,33.907,-0.77,0.955,0.956,0.1
Case_14-08,gauss,1,1.1,0,34.392,34.215,-0.51,0.961,0.964,0.31
Case_14-09,gauss,1,1.1,0,34.312,34.09,-0.65,0.954,0.956,0.21
Case_14-11,gauss,1,1.1,0,34.348,34.092,-0.75,0.947,0.949,0.21
Case_14-12,gauss,1,1.1,0,34.551,34.287,-0.76,0.945,0.948,0.32
Case_15-02,gauss,1,1.1,0,35.337,35.317,-0.06,0.961,0.966,0.52
Case_15-03,gauss,1,1.1,0,34.431,34.326,-0.3,0.956,0.962,0.63
Case_15-04,gauss,1,1.1,0,35.197,35.485,0.82,0.962,0.967,0.52
Case_15-05,gauss,1,1.1,0,35.459,35.785,0.92,0.969,0.973,0.41
Case_15-06,gauss,1,1.1,0,35.426,35.816,1.1,0.97,0.974,0.41
Case_15-07,gauss,1,1.1,0,35.542,35.93,1.09,0.975,0.979,0.41
Case_15-08,gauss,1,1.1,0,35.286,35.674,1.1,0.971,0.975,0.41
Case_15-09,gauss,1,1.1,0,34.811,35.001,0.55,0.966,0.97,0.41
Case_15-10,gauss,1,1.1,0,34.385,34.766,1.11,0.97,0.974,0.41
Case_15-11,gauss,1,1.1,0,34.101,34.399,0.87,0.965,0.97,0.52
Case_15-12,gauss,1,1.1,0,35.404,35.569,0.47,0.972,0.976,0.41
Case_16-01,gauss,1,1.1,0,35.232,35.299,0.19,0.952,0.958,0.63
Case_16-02,gauss,1,1.1,0,35.15,35.432,0.8,0.963,0.969,0.62
Case_16-03,gauss,1,1.1,0,35.059,35.134,0.21,0.957,0.962,0.52
Case_16-04,gauss,1,1.1,0,35.447,35.582,0.38,0.956,0.962,0.63
Case_16-05,gauss,1,1.1,0,35.491,35.544,0.15,0.955,0.962,0.73
Case_16-06,gauss,1,1.1,0,34.237,34.527,0.85,0.969,0.974,0.52
Case_16-07,gauss,1,1.1,0,35.164,35.279,0.33,0.963,0.968,0.52
Case_16-08,gauss,1,1.1,0,34.392,34.717,0.94,0.972,0.975,0.31
Case_16-09,gauss,1,1.1,0,34.99,35.235,0.7,0.968,0.972,0.41
Case_16-10,gauss,1,1.1,0,35.438,35.915,1.35,0.963,0.968,0.52
Case_16-11,gauss,1,1.1,0,34.611,35.069,1.32,0.974,0.977,0.31
Case_16-12,gauss,1,1.1,0,34.532,35.021,1.42,0.972,0.977,0.51
Case_16-13,gauss,1,1.1,0,34.386,34.708,0.94,0.969,0.974,0.52
Case_17-01,gauss,1,1.1,0,33.93,33.94,0.03,0.974,0.977,0.31
Case_17-02,gauss,1,1.1,0,33.788,33.913,0.37,0.974,0.977,0.31
Case_17-03,gauss,1,1.1,0,33.795,33.687,-0.32,0.968,0.972,0.41
Case_17-04,gauss,1,1.1,0,33.56,33.593,0.1,0.973,0.976,0.31
Case_17-05,gauss,1,1.1,0,33.959,33.822,-0.4,0.964,0.969,0.52
Case_17-06,gauss,1,1.1,0,33.193,33.237,0.13,0.97,0.974,0.41
Case_17-07,gauss,1,1.1,0,33.889,33.666,-0.66,0.971,0.974,0.31
Case_17-08,gauss,1,1.1,0,34.191,33.999,-0.56,0.977,0.979,0.2
Case_17-09,gauss,1,1.1,0,33.977,33.908,-0.2,0.972,0.975,0.31
Case_17-10,gauss,1,1.1,0,34.173,34.111,-0.18,0.968,0.972,0.41
Case_17-11,gauss,1,1.1,0,33.119,33.316,0.59,0.976,0.979,0.31
Case_17-12,gauss,1,1.1,0,33.674,33.692,0.05,0.97,0.974,0.41
Case_2-01,gauss,1,1.1,0,35.891,35.917,0.07,0.972,0.977,0.51
Case_2-02,gauss,1,1.1,0,36.378,36.302,-0.21,0.974,0.979,0.51
Case_2-03,gauss,1,1.1,0,35.419,35.344,-0.21,0.975,0.979,0.41
Case_2-04,gauss,1,1.1,0,35.722,35.757,0.1,0.975,0.979,0.41
Case_2-05,gauss,1,1.1,0,37.197,37.21,0.03,0.971,0.976,0.51
Case_2-06,gauss,1,1.1,0,36.569,36.343,-0.62,0.974,0.978,0.41
Case_2-07,gauss,1,1.1,0,36.366,36.231,-0.37,0.975,0.979,0.41
Case_2-08,gauss,1,1.1,0,35.789,35.81,0.06,0.975,0.979,0.41
Case_3-01,gauss,1,1.1,0,34.411,34.849,1.27,0.974,0.978,0.41
Case_3-02,gauss,1,1.1,0,33.495,33.975,1.43,0.975,0.979,0.41
Case_3-03,gauss,1,1.1,0,33.462,33.863,1.2,0.97,0.974,0.41
Case_3-04,gauss,1,1.1,0,33.664,34.22,1.65,0.976,0.98,0.41
Case_3-05,gauss,1,1.1,0,33.343,33.859,1.55,0.974,0.978,0.41
Case_3-06,gauss,1,1.1,0,33.534,33.995,1.37,0.972,0.976,0.41
Case_3-07,gauss,1,1.1,0,34.25,34.916,1.94,0.982,0.985,0.31
Case_3-08,gauss,1,1.1,0,33.99,34.086,0.28,0.974,0.977,0.31
Case_3-09,gauss,1,1.1,0,34.585,35.23,1.86,0.974,0.979,0.51
Case_3-10,gauss,1,1.1,0,34.116,34.666,1.61,0.979,0.983,0.41
Case_4-01,gauss,1,1.1,0,36.198,35.995,-0.56,0.975,0.978,0.31
Case_4-02,gauss,1,1.1,0,35.2,35.535,0.95,0.989,0.99,0.1
Case_4-03,gauss,1,1.1,0,35.465,35.604,0.39,0.985,0.986,0.1
Case_4-04,gauss,1,1.1,0,35.075,35.472,1.13,0.99,0.991,0.1
Case_4-05,gauss,1,1.1,0,35.035,35.396,1.03,0.987,0.989,0.2
Case_4-06,gauss,1,1.1,0,35.192,35.163,-0.08,0.988,0.989,0.1
Case_4-07,gauss,1,1.1,0,35.473,35.758,0.8,0.987,0.989,0.2
Case_4-08,gauss,1,1.1,0,36.438,36.859,1.16,0.987,0.989,0.2
Case_4-09,gauss,1,1.1,0,35.653,36.117,1.3,0.989,0.991,0.2
Case_4-10,gauss,1,1.1,0,34.832,35.199,1.05,0.986,0.988,0.2
Case_5-01,gauss,1,1.1,0,35.524,35.697,0.49,0.972,0.976,0.41
