name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_1-01,gauss,1,0.4,3,33.47596,27.78185,-17.00955,0.97234,0.95307,-1.98182,0.99732,0.98211,-1.52509
Case_1-01,gauss,1,0.4,5,33.47596,30.36588,-9.29049,0.97234,0.964,-0.85772,0.99732,0.99017,-0.71692
Case_1-01,gauss,1,0.4,7,33.47596,30.37194,-9.27239,0.97234,0.96403,-0.85464,0.99732,0.99017,-0.71692
Case_1-01,gauss,1,0.4,9,33.47596,30.3675,-9.28565,0.97234,0.96401,-0.8567,0.99732,0.99017,-0.71692
Case_1-01,gauss,1,0.4,11,33.47596,30.36791,-9.28442,0.97234,0.96402,-0.85567,0.99732,0.99017,-0.71692
Case_1-01,gauss,1,0.4,13,33.47596,30.37428,-9.2654,0.97234,0.96402,-0.85567,0.99732,0.99018,-0.71592
Case_1-01,gauss,1,0.7,3,33.47596,27.85363,-16.79513,0.97234,0.95439,-1.84606,0.99732,0.98225,-1.51105
Case_1-01,gauss,1,0.7,5,33.47596,30.61645,-8.54198,0.97234,0.96606,-0.64586,0.99732,0.99067,-0.66679
Case_1-01,gauss,1,0.7,7,33.47596,30.6462,-8.45311,0.97234,0.96618,-0.63352,0.99732,0.99074,-0.65977
Case_1-01,gauss,1,0.7,9,33.47596,30.6462,-8.45311,0.97234,0.96618,-0.63352,0.99732,0.99074,-0.65977
Case_1-01,gauss,1,0.7,11,33.47596,30.6462,-8.45311,0.97234,0.96618,-0.63352,0.99732,0.99074,-0.65977
Case_1-01,gauss,1,0.7,13,33.47596,30.6462,-8.45311,0.97234,0.96618,-0.63352,0.99732,0.99074,-0.65977
Case_1-01,gauss,1,1.1,3,33.47596,27.92373,-16.58572,0.97234,0.956,-1.68048,0.99732,0.98217,-1.51907
Case_1-01,gauss,1,1.1,5,33.47596,31.09175,-7.12216,0.97234,0.9701,-0.23037,0.99732,0.99133,-0.60061
Case_1-01,gauss,1,1.1,7,33.47596,31.19283,-6.82021,0.97234,0.97061,-0.17792,0.99732,0.99154,-0.57955
Case_1-01,gauss,1,1.1,9,33.47596,31.19593,-6.81095,0.97234,0.97063,-0.17586,0.99732,0.99154,-0.57955
Case_1-01,gauss,1,1.1,11,33.47596,31.19597,-6.81083,0.97234,0.97063,-0.17586,0.99732,0.99154,-0.57955
Case_1-01,gauss,1,1.1,13,33.47596,31.19597,-6.81083,0.97234,0.97063,-0.17586,0.99732,0.99154,-0.57955
Case_1-01,gauss,1,1.4,3,33.47596,27.92819,-16.5724,0.97234,0.95624,-1.6558,0.99732,0.98204,-1.53211
Case_1-01,gauss,1,1.4,5,33.47596,31.17948,-6.86009,0.97234,0.97109,-0.12856,0.99732,0.99122,-0.61164
Case_1-01,gauss,1,1.4,7,33.47596,31.332,-6.40448,0.97234,0.97204,-0.03085,0.99732,0.99146,-0.58757
Case_1-01,gauss,1,1.4,9,33.47596,31.34742,-6.35841,0.97234,0.97216,-0.01851,0.99732,0.99148,-0.58557
Case_1-01,gauss,1,1.4,11,33.47596,31.34858,-6.35495,0.97234,0.97217,-0.01748,0.99732,0.99148,-0.58557
Case_1-01,gauss,1,1.4,13,33.47596,31.34861,-6.35486,0.97234,0.97217,-0.01748,0.99732,0.99148,-0.58557
Case_1-01,gauss,1,1.7,3,33.47596,27.92563,-16.58005,0.97234,0.9563,-1.64963,0.99732,0.98195,-1.54113
Case_1-01,gauss,1,1.7,5,33.47596,31.14463,-6.96419,0.97234,0.97114,-0.12341,0.99732,0.99093,-0.64072
Case_1-01,gauss,1,1.7,7,33.47596,31.21955,-6.74039,0.97234,0.97193,-0.04217,0.99732,0.99089,-0.64473
Case_1-01,gauss,1,1.7,9,33.47596,31.19562,-6.81187,0.97234,0.972,-0.03497,0.99732,0.99077,-0.65676
Case_1-01,gauss,1,1.7,11,33.47596,31.18754,-6.83601,0.97234,0.972,-0.03497,0.99732,0.99074,-0.65977
Case_1-01,gauss,1,1.7,13,33.47596,31.18603,-6.84052,0.97234,0.972,-0.03497,0.99732,0.99073,-0.66077
Case_1-01,gauss,1,2,3,33.47596,27.92213,-16.5905,0.97234,0.9563,-1.64963,0.99732,0.98188,-1.54815
Case_1-01,gauss,1,2,5,33.47596,31.08159,-7.15251,0.97234,0.9709,-0.1481,0.99732,0.99065,-0.66879
Case_1-01,gauss,1,2,7,33.47596,30.99942,-7.39797,0.97234,0.97105,-0.13267,0.99732,0.99014,-0.71993
Case_1-01,gauss,1,2,9,33.47596,30.84295,-7.86538,0.97234,0.97065,-0.17381,0.99732,0.98962,-0.77207
Case_1-01,gauss,1,2,11,33.47596,30.77399,-8.07137,0.97234,0.97046,-0.19335,0.99732,0.98941,-0.79313
Case_1-01,gauss,1,2,13,33.47596,30.75482,-8.12864,0.97234,0.97042,-0.19746,0.99732,0.98935,-0.79914
Case_1-02,gauss,1,0.4,3,33.48185,27.32004,-18.40343,0.97174,0.95077,-2.15798,0.99767,0.98146,-1.62479
Case_1-02,gauss,1,0.4,5,33.48185,30.23303,-9.70323,0.97174,0.96338,-0.86031,0.99767,0.99052,-0.71667
Case_1-02,gauss,1,0.4,7,33.48185,30.24566,-9.66551,0.97174,0.96344,-0.85414,0.99767,0.99054,-0.71467
Case_1-02,gauss,1,0.4,9,33.48185,30.23489,-9.69767,0.97174,0.9634,-0.85825,0.99767,0.99052,-0.71667
Case_1-02,gauss,1,0.4,11,33.48185,30.2421,-9.67614,0.97174,0.96343,-0.85517,0.99767,0.99053,-0.71567
Case_1-02,gauss,1,0.4,13,33.48185,30.2524,-9.64538,0.97174,0.96345,-0.85311,0.99767,0.99056,-0.71266
Case_1-02,gauss,1,0.7,3,33.48185,27.37814,-18.22991,0.97174,0.95204,-2.02729,0.99767,0.98154,-1.61677
Case_1-02,gauss,1,0.7,5,33.48185,30.48445,-8.95231,0.97174,0.96547,-0.64523,0.99767,0.99102,-0.66655
Case_1-02,gauss,1,0.7,7,33.48185,30.52437,-8.83308,0.97174,0.96563,-0.62877,0.99767,0.9911,-0.65853
Case_1-02,gauss,1,0.7,9,33.48185,30.52437,-8.83308,0.97174,0.96563,-0.62877,0.99767,0.9911,-0.65853
Case_1-02,gauss,1,0.7,11,33.48185,30.52437,-8.83308,0.97174,0.96563,-0.62877,0.99767,0.9911,-0.65853
Case_1-02,gauss,1,0.7,13,33.48185,30.52437,-8.83308,0.97174,0.96563,-0.62877,0.99767,0.9911,-0.65853
Case_1-02,gauss,1,1.1,3,33.48185,27.43275,-18.0668,0.97174,0.95365,-1.86161,0.99767,0.9814,-1.6308
Case_1-02,gauss,1,1.1,5,33.48185,30.97599,-7.48423,0.97174,0.96977,-0.20273,0.99767,0.99172,-0.59639
Case_1-02,gauss,1,1.1,7,33.48185,31.10487,-7.09931,0.97174,0.9704,-0.1379,0.99767,0.99199,-0.56933
Case_1-02,gauss,1,1.1,9,33.48185,31.10861,-7.08814,0.97174,0.97042,-0.13584,0.99767,0.99199,-0.56933
Case_1-02,gauss,1,1.1,11,33.48185,31.10868,-7.08793,0.97174,0.97042,-0.13584,0.99767,0.99199,-0.56933
Case_1-02,gauss,1,1.1,13,33.48185,31.10868,-7.08793,0.97174,0.97042,-0.13584,0.99767,0.99199,-0.56933
Case_1-02,gauss,1,1.4,3,33.48185,27.43489,-18.06041,0.97174,0.95393,-1.83279,0.99767,0.98126,-1.64483
Case_1-02,gauss,1,1.4,5,33.48185,31.08997,-7.14381,0.97174,0.97105,-0.07101,0.99767,0.9917,-0.59839
Case_1-02,gauss,1,1.4,7,33.48185,31.29748,-6.52404,0.97174,0.97229,0.0566,0.99767,0.99206,-0.56231
Case_1-02,gauss,1,1.4,9,33.48185,31.31814,-6.46234,0.97174,0.97244,0.07204,0.99767,0.99209,-0.5593
Case_1-02,gauss,1,1.4,11,33.48185,31.31956,-6.4581,0.97174,0.97245,0.07306,0.99767,0.99209,-0.5593
Case_1-02,gauss,1,1.4,13,33.48185,31.3196,-6.45798,0.97174,0.97245,0.07306,0.99767,0.99209,-0.5593
Case_1-02,gauss,1,1.7,3,33.48185,27.432,-18.06904,0.97174,0.95401,-1.82456,0.99767,0.98116,-1.65486
Case_1-02,gauss,1,1.7,5,33.48185,31.07746,-7.18117,0.97174,0.97135,-0.04013,0.99767,0.99148,-0.62045
Case_1-02,gauss,1,1.7,7,33.48185,31.23097,-6.72269,0.97174,0.97265,0.09365,0.99767,0.99165,-0.60341
Case_1-02,gauss,1,1.7,9,33.48185,31.21697,-6.7645,0.97174,0.97283,0.11217,0.99767,0.99157,-0.61142
Case_1-02,gauss,1,1.7,11,33.48185,31.20867,-6.78929,0.97174,0.97285,0.11423,0.99767,0.99154,-0.61443
Case_1-02,gauss,1,1.7,13,33.48185,31.20697,-6.79437,0.97174,0.97285,0.11423,0.99767,0.99154,-0.61443
Case_1-02,gauss,1,2,3,33.48185,27.42836,-18.07991,0.97174,0.95403,-1.8225,0.99767,0.9811,-1.66087
Case_1-02,gauss,1,2,5,33.48185,31.02956,-7.32424,0.97174,0.97129,-0.04631,0.99767,0.99125,-0.6435
Case_1-02,gauss,1,2,7,33.48185,31.03758,-7.30028,0.97174,0.97216,0.04322,0.99767,0.99102,-0.66655
Case_1-02,gauss,1,2,9,33.48185,30.88297,-7.76206,0.97174,0.97193,0.01955,0.99767,0.99058,-0.71066
Case_1-02,gauss,1,2,11,33.48185,30.80597,-7.99203,0.97174,0.97178,0.00412,0.99767,0.99037,-0.7317
Case_1-02,gauss,1,2,13,33.48185,30.78289,-8.06096,0.97174,0.97172,-0.00206,0.99767,0.99031,-0.73772
Case_1-03,gauss,1,0.4,3,33.98032,28.05821,-17.42806,0.97747,0.95967,-1.82103,0.99748,0.98228,-1.52384
Case_1-03,gauss,1,0.4,5,33.98032,31.31407,-7.84645,0.97747,0.97175,-0.58518,0.99748,0.99188,-0.56141
Case_1-03,gauss,1,0.4,7,33.98032,31.33652,-7.78039,0.97747,0.97184,-0.57598,0.99748,0.99192,-0.5574
Case_1-03,gauss,1,0.4,9,33.98032,31.3186,-7.83312,0.97747,0.97177,-0.58314,0.99748,0.99189,-0.56041
Case_1-03,gauss,1,0.4,11,33.98032,31.33191,-7.79395,0.97747,0.97182,-0.57802,0.99748,0.99191,-0.55841
