name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_1-01,gauss,1,0.4,2,33.47596,22.45327,-32.92718,0.97234,0.89911,-7.53132,0.99732,0.94386,-5.36037
Case_1-01,gauss,1,0.7,4,33.47596,31.9431,-4.57899,0.97234,0.97038,-0.20158,0.99732,0.99436,-0.2968
Case_1-01,gauss,1,1.1,6,33.47596,33.29148,-0.55108,0.97234,0.9759,0.36613,0.99732,0.9959,-0.14238
Case_1-01,gauss,1,1.4,8,33.47596,33.34427,-0.39339,0.97234,0.97687,0.46589,0.99732,0.99557,-0.17547
Case_1-01,gauss,1,1.7,10,33.47596,32.90865,-1.69468,0.97234,0.97615,0.39184,0.99732,0.99456,-0.27674
Case_1-01,gauss,1,2,12,33.47596,32.13264,-4.01279,0.97234,0.97403,0.17381,0.99732,0.99291,-0.44219
Case_1-02,gauss,1,0.4,2,33.48185,21.99712,-34.30136,0.97174,0.89285,-8.11843,0.99767,0.9422,-5.55995
Case_1-02,gauss,1,0.7,4,33.48185,31.59354,-5.6398,0.97174,0.96892,-0.2902,0.99767,0.99417,-0.35082
Case_1-02,gauss,1,1.1,6,33.48185,33.07827,-1.20537,0.97174,0.9751,0.34577,0.99767,0.99597,-0.1704
Case_1-02,gauss,1,1.4,8,33.48185,33.2673,-0.64079,0.97174,0.97675,0.51557,0.99767,0.99589,-0.17842
Case_1-02,gauss,1,1.7,10,33.48185,32.94542,-1.60215,0.97174,0.97674,0.51454,0.99767,0.99514,-0.25359
Case_1-02,gauss,1,2,12,33.48185,32.19686,-3.83787,0.97174,0.97519,0.35503,0.99767,0.99371,-0.39692
Case_1-03,gauss,1,0.4,2,33.98032,22.78039,-32.96005,0.97747,0.909,-7.00482,0.99748,0.94408,-5.35349
Case_1-03,gauss,1,0.7,4,33.98032,32.39418,-4.66782,0.97747,0.97536,-0.21586,0.99748,0.99469,-0.2797
Case_1-03,gauss,1,1.1,6,33.98032,33.98031,-3e-05,0.97747,0.98058,0.31817,0.99748,0.99648,-0.10025
Case_1-03,gauss,1,1.4,8,33.98032,34.09951,0.35076,0.97747,0.98166,0.42866,0.99748,0.99628,-0.1203
Case_1-03,gauss,1,1.7,10,33.98032,33.81413,-0.48908,0.97747,0.98154,0.41638,0.99748,0.99557,-0.19148
Case_1-03,gauss,1,2,12,33.98032,33.22017,-2.23703,0.97747,0.98045,0.30487,0.99748,0.99441,-0.30778
Case_1-04,gauss,1,0.4,2,33.94747,22.88128,-32.59798,0.97893,0.91492,-6.53877,0.99728,0.93908,-5.83587
Case_1-04,gauss,1,0.7,4,33.94747,32.5167,-4.21466,0.97893,0.97719,-0.17775,0.99728,0.99434,-0.2948
