name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_1-01,gauss,1,0.4,2,33.47596,33.09781,-1.12962,0.97234,0.97193,-0.04217,0.99732,0.99668,-0.06417
Case_1-01,gauss,1,0.7,4,33.47596,32.55566,-2.74914,0.97234,0.97419,0.19026,0.99732,0.99526,-0.20655
Case_1-01,gauss,1,1.1,6,33.47596,33.08765,-1.15997,0.97234,0.97705,0.4844,0.99732,0.99556,-0.17647
Case_1-01,gauss,1,1.4,8,33.47596,33.262,-0.63915,0.97234,0.9775,0.53068,0.99732,0.99546,-0.1865
Case_1-01,gauss,1,1.7,10,33.47596,32.83117,-1.92613,0.97234,0.97616,0.39287,0.99732,0.99449,-0.28376
Case_1-01,gauss,1,2,12,33.47596,31.92173,-4.64282,0.97234,0.97336,0.1049,0.99732,0.99261,-0.47227
Case_1-01,gauss,0,0.4,2,33.47596,33.09781,-1.12962,0.97234,0.97193,-0.04217,0.99732,0.99668,-0.06417
Case_1-01,gauss,0,0.7,4,33.47596,32.55566,-2.74914,0.97234,0.97419,0.19026,0.99732,0.99526,-0.20655
Case_1-01,gauss,0,1.1,6,33.47596,33.08765,-1.15997,0.97234,0.97705,0.4844,0.99732,0.99556,-0.17647
Case_1-01,gauss,0,1.4,8,33.47596,33.262,-0.63915,0.97234,0.9775,0.53068,0.99732,0.99546,-0.1865
Case_1-01,gauss,0,1.7,10,33.47596,32.83117,-1.92613,0.97234,0.97616,0.39287,0.99732,0.99449,-0.28376
Case_1-01,gauss,0,2,12,33.47596,31.92173,-4.64282,0.97234,0.97336,0.1049,0.99732,0.99261,-0.47227
Case_1-02,gauss,1,0.4,2,33.48185,32.97684,-1.50831,0.97174,0.97103,-0.07306,0.99767,0.99687,-0.08019
Case_1-02,gauss,1,0.7,4,33.48185,32.11594,-4.07955,0.97174,0.97267,0.0957,0.99767,0.99495,-0.27264
Case_1-02,gauss,1,1.1,6,33.48185,32.81312,-1.99729,0.97174,0.97637,0.47646,0.99767,0.99559,-0.20849
Case_1-02,gauss,1,1.4,8,33.48185,33.25953,-0.664,0.97174,0.97773,0.61642,0.99767,0.99593,-0.17441
Case_1-02,gauss,1,1.7,10,33.48185,32.92472,-1.66398,0.97174,0.97711,0.55262,0.99767,0.99523,-0.24457
